PERK,RANKS,REQUIREMENTS,MINIMUM LEVEL,RESTRICTION,DESCRIPTION
FORTUNE FINDER,3,LCK '5,2,–,"Whenever you roll to determine how much money you find, you find more. At rank '1, you find '+3DCD additional caps. At rank '2, you find '+6DCD additional caps. At rank '3, you find '+10CD additional caps. Each time you take this perk, the level requirement increases by '4."
GHOST,1,"PER '5, AGI '6",–,–,"Whenever you attempt an AGI + Sneak test in shadows or darkness, the first additional d20 you buy is free. The normal maximum of 5d20 still applies."
GRIM REAPER'S SPRINT,1,LCK '8,–,–,"When you make an attack which kills one or more enemies, roll 1DCD. If you roll an Effect, add '2 AP to the group's pool."
GUN FU,3,AGI '10,1,–,"When you succeed at a ranged attack, you may spend '1 AP and '1 ammo to hit a second target within Close range of your initial target. The second target takes the same damage as the initial target. At rank '2, you may spend '2 AP and '2 ammo to hit two additional targets. At rank '3, you may spend '3 AP and '3 ammo to hit three additional targets. Each time you take this perk, the level requirement increases by '5."
GUN NUT,4,INT '6,2,–,"You can modify small guns and heavy weapons with weapon mods. Each rank in this perk unlocks an additional rank of weapon mods: rank '1 unlocks rank '1 mods, rank '2 unlocks rank '2 mods, etc. Each time you take this perk, the level requirement increases by '4."
GUNSLINGER,2,AGI '7,2,–,"When you make an attack with a one-handed ranged weapon with a Fire Rate of '2 or lower, you increase the weapon's damage by '+1CD per rank. In addition, you may re-roll the hit location die. Each time you take this perk, the level requirement increases by '4."
HACKER,1,INT '8,–,–,"The difficulty of skill tests to hack computers is decreased by '1, to a minimum of '0."
HEALER,3,INT '7,1,–,"When you heal a patient's HP using the First Aid action, increase the amount of HP healed by '+1 per rank in this perk. Each time you take this perk, the level requirement increases by '5."
HEAVE HO!,1,STR '8,–,–,"When you make a thrown weapon attack, you may spend '1 AP to increase the Range of the weapon by one step—from Close to Medium, or from Medium to Long."
HUNTER,1,END '6,–,–,"When you make an attack against an NPC with one of the Mammal, Lizard, or Insect keywords and the Mutated keyword, your attack gains the Vicious damage effect, if it did not already have that effect."
INFILTRATOR,1,PER '8,–,–,"When you attempt a Lockpick skill test to unlock a door or container, you may re-roll 1d20."
INSPIRATIONAL,1,CHA '8,–,–,"Because you lead by example, the maximum number of AP the group may save is increased by '1."
INTENSE TRAINING,10,–,2,–,"Increase any one S.P.E.C.I.A.L attribute by '1 rank. As usual, your S.P.E.C.I.A.L attributes cannot be increased beyond '10 using this method. Each time you take this perk, the level requirement increases by '2."
IRON FIST,2,STR '6,1,–,"At rank '1, your unarmed attacks inflict '+1DCD damage. At rank '2, your unarmed attacks also gain the Vicious damage effect. Each time you take this perk, the level requirement increases by '5."
JUNKTOWN JERKY VENDOR,1,CHA '8,–,–,"The difficulty of any CHA + Barter test you attempt to buy or sell goods is reduced by '1, to a minimum of '0."
JURY RIGGING,1,None,–,–,"You can repair an item without needing to expend any components. However, the repair is temporary, and the item will break again on the next complication you suffer while using it. The complication range of all skill tests to use the item increases by '1, to the roll of a '19-'20."
LASER COMMANDER,2,PER '8,2,–,"When you make an attack with a ranged energy weapon, the damage is increased by '+1DCD per rank in this perk. Each time you take this perk, the level requirement increases by '4."
LEAD BELLY,2,END '6,1,–,"At rank '1, you may re-roll the CD to determine if you suffer radiation damage from irradiated food or drink. At rank '2, you are immune to radiation damage from consuming irradiated food or drink. Each time you take this perk, the level requirement increases by '4."
LIFE GIVER,5,–,5,–,"Increase your maximum health points by your Endurance rank. Each time you take this perk, the level requirement increases by '5."
LIGHT STEP,1,–,–,–,"When you roll to generate any complications on an Agility-based skill test, you may ignore one complication for every '1 AP spent. In addition, you may re-roll 1d20 on any AGI + Athletics test to avoid traps triggered by pressure plates or similar mechanisms."
MASTER THIEF,1,"PER '8, AGI '9",–,–,"When you are attempting to pick a lock or pickpocket somebody, the difficulty of the opponent's skill test to detect you increases by '+1."
MEDIC,1,INT '8,–,–,"When you use the First Aid action to try to treat an injury, you can re-roll 1d20."
MELTDOWN,1,PER '10,–,–,"When you kill an enemy with an energy weapon, they explode. Roll a number of DCD equal to half the weapon's damage rating (round down). For each Effect rolled, one creature within Close range of the exploding enemy (starting with the closest) suffers energy damage equal to the total rolled on the DCD."
MISTER SANDMAN,1,AGI '9,–,–,"When you make a sneak attack with a silenced or suppressed weapon, the damage is increased by '+2CD. You cannot gain this benefit while in Power Armor."
MOVING TARGET,1,AGI '6,–,–,"When you take the Sprint action, your Defense increases by '+1 until the start of your next turn."
MYSTERIOUS STRANGER,1,LCK '7,–,–,"From time to time, a Mysterious Stranger comes to your aid, with lethal results. At the start of a combat encounter, you may spend '1 Luck point. If you do so, then at any point during the scene, the GM may have the Mysterious Stranger appear, make a single ranged attack against an enemy you attacked, or who just attacked you, and then vanish. If you spend a Luck point and the Mysterious Stranger does not appear, the GM must refund the Luck point you spent. The stranger has an AGI of '10, a Small Guns skill of '6, and counts Small Guns as a Tag skill. They always roll 3d20 for attacks, rather than 2d20, and their attack—using a custom .44 Magnum revolver—inflicts '8CD Piercing '1, Vicious physical damage. They always appear within their weapon's ideal range. Any attempt to find where the Stranger went after their attack fails."
NERD RAGE!,3,INT '8,2,–,"While your health is reduced to less than ¼ of your maximum, you add '+1 to your physical DR, '+1 to your energy DR, and '+1CD to the damage of all your attacks. At rank '2, this increases to '+2 DR, and '+2CD damage. At rank '3, this increases to '+3 DR and '+3CD damage. Each time you take this perk, the level requirement increases by '5."
NIGHT PERSON,1,PER '7,–,–,You reduce any difficulty increases due to darkness by '1.
NINJA,1,AGI '8,–,–,"When you make a sneak attack with a melee weapon or unarmed attack, the damage is increased by '+2CD. You cannot gain this benefit while in Power Armor."
NUCLEAR PHYSICIST,1,INT '9,–,–,"Whenever you use a weapon that inflicts radiation damage, or has the Radioactive damage effect, each Effect you roll inflicts one additional point of radiation damage. In addition, fusion cores you use have '3 additional charges."
PAIN TRAIN,2,"STR '9, END '7",1,–,"You may Charge as a major action if you are wearing Power Armor or are a super mutant. This is a movement action, and you may not Move or Sprint in the same turn. When you take this action, you move into reach of an enemy within Medium range ('1 zone) and make a STR + Athletics test with a difficulty of '2. If you succeed, the enemy suffers damage equal to your normal unarmed damage, and is knocked prone. At rank '2, you add '+1DCD and the Stun damage effect to the damage inflicted. At the GM's discretion, especially large or sturdy creatures cannot be knocked prone by this action. Each time you take this perk, the level requirement increases by '5."
PARALYZING PALM,1,STR '8,–,–,"When you make an unarmed attack, and choose to strike a specific location, your attack gains the Stun damage effect."
PARTY BOY/PARTY GIRL,1,"END '6, CHA '7",–,–,"You cannot become addicted to alcoholic drinks, and whenever you drink an alcoholic drink, you heal '+2 HP."
PATHFINDER,1,"PER '6, END '6",–,–,"When travelling over long distances through the wilderness, a successful PER + Survival test (with a difficulty determined by the GM, based on the terrain) reduces the travel time by half."
PHARMA FARMA,1,LCK '6,–,–,"When you are scavenging a location that contains medicine or chems, you find one additional item, randomly determined, without spending AP."
PICKPOCKET,3,"PER '8, AGI '8",1,–,"At rank '1, you can ignore the first complication you roll when you make an AGI + Sneak test to steal an object from someone else's person or to plant something on them. At rank '2, you can re-roll 1d20 in your dice pool when attempting to pick someone's pocket. At rank '3, you reduce the difficulty of attempts to pick someone's pocket by '1. Each time you take this perk, the level requirement increases by '3."
PIERCING STRIKE,1,STR '7,–,–,"Your attacks using unarmed attacks and bladed melee weapons gain the Piercing '1 damage effect, or add '+1 to the rating of any Piercing X damage effect they already had."
PYROMANIAC,3,END '6,2,–,"The damage you deal using fire-based weapons increases by '+1CD per rank. Each time you take this perk, the level requirement increases by '4."
QUICK DRAW,1,AGI '6,–,–,"Each turn, you may draw a single weapon or item carried on your person without using a minor action."
QUICK HANDS,1,AGI '8,–,–,"You can reload firearms faster. When you make a ranged attack, you may spend '2 AP to double the Fire Rate of your gun for that attack."
RAD RESISTANCE,2,END '8,1,–,"Your radiation Damage Resistance, to all hit locations, increases by '+1 per rank in this perk. Each time you take this perk, the level requirement increases by '4."
REFRACTOR,2,"PER '6, LCK '7",1,–,"Your energy Damage Resistance to all hit locations increases by '+1 per rank in this perk. Each time you take this perk, the level requirement increases by '4."
RICOCHET,1,LCK '10,5,–,"If an enemy makes a ranged attack against you and rolls a complication, you may spend one Luck point to have their ricochet hit them. Resolve the damage roll against the attacking enemy instead."
RIFLEMAN,2,AGI '7,2,–,"When you make a ranged attack with any two-handed weapon with a Fire Rate of '2 or lower (except heavy weapons), you add '+1 CD to the weapon's damage per rank. At rank '2, you also add the Piercing '1 damage effect, or add '+1 to the rating of any Piercing X damage effect the weapon already had. Each time you take this perk, the level requirement increases by '4."
ROBOTICS EXPERT,3,INT '8,2,–,"At rank '1, you can modify robot armor, weapon mounts, and modules with rank '1 mods. At rank '2 you gain access to rank '2 mods, and the difficulty of tests to repair robots is permanently reduced by '1. At rank '3 you gain access to rank '3 mods, and you can reprogram robots to fulfil a different function or alter their behavior at the discretion of the GM. Each time you take this perk, the level requirement increases by '4."
SCIENCE!,3,INT '6,2,–,"You can modify energy weapons with weapon mods, and you can also craft certain advanced armor mods. Each rank in this perk unlocks an additional rank of mods: rank '1 unlocks rank '1 mods, rank '2 unlocks rank '2 mods, etc. Each time you take this perk, the level requirement increases by '4."
SCOUNDREL,1,CHA '7,–,–,"When you make a CHA + Speech test to convince someone of a lie, you may ignore the first complication you roll."
SCRAPPER,2,–,3,–,"When you scrap an item, you can salvage uncommon component materials as well as common ones (see p.208). At rank '2, you can also salvage rare materials. Each time you take this perk, the level requirement increases by '5."
SCROUNGER,3,LCK '6,1,–,"Whenever you roll to determine how much ammunition you find, you find more. At rank '1, you find '+3CD additional shots. At rank '2, you find '+6CD additional shots. At rank '3, you find '+10 CD additional shots. The additional ammo you find is the same as initially found, for example, if you find 10mm ammunition, this perk increases how much 10mm ammo you find. If you find multiple types of ammunition, Scrounger applies to the ammunition with the lowest rarity (GM's choice if there is a tie). Each time you take this perk, the level requirement increases by '5."
SHOTGUN SURGEON,1,"STR '5, AGI '7",–,–,"Your ranged attacks using shotguns gain the Piercing '1 damage effect, or add '+1 to any Piercing X damage effect the weapon already had."
SKILLED,10,–,3,–,"Add '+1 rank to two skills or add '+2 ranks to one skill. No skill may have more than '6 ranks. Each time you take this perk, the level requirement increases by '3."
SIZE MATTERS,3,"END '7, AGI '6",–,–,"When you make a ranged attack with any heavy weapon, you add '+1CD to the weapon's damage, per rank. Each time you take this perk, the level requirement increases by '4."
SLAYER,1,STR '8,–,–,"When you inflict any damage with an unarmed attack or melee weapon, you may spend '1 Luck point to immediately inflict a critical hit—and therefore an injury—on the location hit."
SMOOTH TALKER,1,CHA '6,–,–,"When you make a Barter or Speech test as part of an opposed test, you may re-roll 1d20."
SNAKEATER,1,END '7,–,–,Your poison Damage Resistance increases by '+2.
SNIPER,1,"PER '8, AGI '6",–,–,"When you take the Aim minor action, and then make a ranged attack with a two-handed weapon with the Accurate quality, you can specify a hit location to target without increasing the difficulty of the attack."
SOLAR POWERED,1,END '7,–,–,"For every hour you spend in direct sunlight, you heal '1 radiation damage."
STEADY AIM,1,"STR '8, AGI '7",–,–,"When you take the Aim minor action, you may either re-roll 2d20 on the first attack you make this turn, or re-roll 1d20 on all attacks you make this turn."
STRONG BACK,3,STR '5,1,–,"Your maximum carry weight is increased by '+25 lbs., per rank. Each time you take this perk, the level requirement increases by '2."
TAG!,1,–,5,–,"You may select one additional Tag skill. Increase the skill's rank by '2, to a maximum of '6, and mark it as a Tag skill, allowing you to roll a critical success with a d20 result equal or under the skill's rank."
TERRIFYING PRESENCE,2,"STR '6, CHA '8",3,–,"When you make a Speech test to threaten or scare someone, you may re-roll 1d20. At rank '2, you may use a major action in combat to threaten an enemy within Medium range, using a STR + Speech test with a difficulty of '2. If you succeed, that enemy must move away from you during their next turn (though they can take any other actions they wish). Each time you take this perk, the level requirement increases by '5."
TOUGHNESS,2,"END '6, LCK '6",1,–,"Your physical Damage Resistance to all hit locations increases by '+1 per rank in this perk. Each time you take this perk, the level requirement increases by '4."
